Series,Year,Title,Character,Classification,Notes,Developer
A Kiss for the Petals,2006–2016,All,"Various girls, Teachers and Nurses",Lesbian,A series of,Fuguriya
Ace Attorney,2004,Phoenix Wright: Ace Attorney − Trials and Tribulations,Jean Armstrong,Gay,Trials and Tribulations,Capcom
Baldur's Gate,2012,Baldur's Gate: Enhanced Edition,Gorion's Ward,"Potentially gay, or bisexual",The Gorion's Ward is the male or female protagonist of,Overhaul Games
Borderlands,2009,Borderlands,Mad Moxxi,Bisexual or Pansexual,Mad Moxxi's appearances include,Gearbox Software
Danganronpa,2010,Danganronpa: Trigger Happy Havoc,Mukuro Ikusaba,Lesbian or bisexual,In,Spike Chunsoft
Darkstalkers,1994,First appearance:,Morrigan Aensland,Bisexual,Morrigan is,Capcom
Destiny,2014,Destiny,Osiris,Gay,"Game designer Robert Brooke wrote the two characters as in a romantic relationship from their introduction but had been vague about it, but only made it more explicit with ongoing updates to",Bungie
Digimon Story: Cyber Sleuth,2015,Digimon Story: Cyber Sleuth,Fei Wong Tomoe Ignacio,Lesbian,Fei is in love with Yuuko Kamashiro,Bandai
Divinity,2017,Divinity: Original Sin 2,Ifan Ben-Mezd,Pansexual/ Bisexual,"All the origin characters can be romanced regardless of race or gender. Fane canonically had a wife but can be romanced by anyone, and Sebille claims that Lohse has a crush on her if you agree to let Sebille see Lohse's memories. Butter can be flirted with, with any character, and she will respond in kind.",Larian Studios
Dragon Age,2009,Dragon Age: Origins,Warden,"Potentially gay, lesbian or bisexual","The Warden is the player character, who has the option to pursue a romance, or simply a sexual encounter, with four ""companions"", the people who accompany the player on their journey: Zevran Aranai and Leliana are openly bisexual and are available to players of both genders. Alistair and Morrigan are straight and thus available to players of the opposite gender. There are also opportunities to have sexual encounters with NPCs of the same gender throughout the game and notably within the first 30 minutes of game play. As with BioWare's other flagship title,",BioWare
Drakengard,2005,Drakengard 2,Yaha,Bisexual,"Yaha is an enemy character. He got incredible beauty that can charm all men and women from his pact, in return of the loss of the ""pleasure"" of sex. He is in love with his male old friend, Urick, one of the playable characters.",Cavia
Fable,2004,Fable,Player character and NPC townspeople,"Potentially gay, lesbian or bisexual",In the,Big Blue Box Studios
Fallout,1998,Fallout 2,Miria and Davin,Bisexual,This game features the first,Black Isle Studios
Final Fantasy,1999,Final Fantasy VIII,An unnamed minor character,Trans woman,"An unnamed minor character can be encountered in a bar; during conversation, there is strong implication the character is transgender. The player character",Square
Final Fight,1989,Final Fight,Poison,Trans woman,Poison is introduced in,Capcom
